uid,eventType,datetime,home_stay
u31,HomeMobility,2013-03-29 10:38:07,False
u31,HomeMobility,2013-03-29 10:58:07,False
u31,HomeMobility,2013-03-29 11:18:07,False
u31,HomeMobility,2013-03-29 11:38:07,False
u31,HomeMobility,2013-03-29 11:58:08,False
u31,HomeMobility,2013-03-29 12:18:07,False
u31,HomeMobility,2013-03-29 12:22:40,False
u31,HomeMobility,2013-03-29 12:58:12,False
u31,HomeMobility,2013-03-29 13:18:07,False
u31,HomeMobility,2013-03-29 13:38:07,False
u31,HomeMobility,2013-03-29 13:58:07,False
u31,HomeMobility,2013-03-29 14:18:07,False
u31,HomeMobility,2013-03-29 14:38:07,False
u31,HomeMobility,2013-03-29 14:58:10,False
u31,HomeMobility,2013-03-29 15:18:07,True
u31,HomeMobility,2013-03-29 15:38:07,True
u31,HomeMobility,2013-03-29 15:58:07,True
u31,HomeMobility,2013-03-29 16:18:07,True
u31,HomeMobility,2013-03-29 16:38:07,True
u31,HomeMobility,2013-03-29 16:58:07,True
u31,HomeMobility,2013-03-29 17:18:10,True
u31,HomeMobility,2013-03-29 17:38:11,True
u31,HomeMobility,2013-03-29 17:58:12,True
u31,HomeMobility,2013-03-29 18:18:07,True
u31,HomeMobility,2013-03-29 18:38:07,True
u31,HomeMobility,2013-03-29 18:58:07,True
u31,HomeMobility,2013-03-29 19:18:07,True
u31,HomeMobility,2013-03-29 19:38:07,True
u31,HomeMobility,2013-03-29 19:58:07,True
u31,HomeMobility,2013-03-29 20:18:11,True
u31,HomeMobility,2013-03-29 20:38:07,True
u31,HomeMobility,2013-03-29 20:58:07,True
u31,HomeMobility,2013-03-29 21:18:07,True
u31,HomeMobility,2013-03-29 21:38:07,True
u31,HomeMobility,2013-03-29 21:58:07,True
u31,HomeMobility,2013-03-29 22:18:07,True
u31,HomeMobility,2013-03-29 22:38:07,True
u31,HomeMobility,2013-03-29 22:58:07,True
u31,HomeMobility,2013-03-29 23:18:07,True
u31,HomeMobility,2013-03-29 23:38:07,True
u31,HomeMobility,2013-03-29 23:58:07,True
u31,HomeMobility,2013-03-30 00:18:07,True
u31,HomeMobility,2013-03-30 00:38:07,True
u31,HomeMobility,2013-03-30 00:58:11,True
u31,HomeMobility,2013-03-30 01:18:07,True
u31,HomeMobility,2013-03-30 01:38:07,True
u31,HomeMobility,2013-03-30 01:58:07,True
u31,HomeMobility,2013-03-30 02:18:07,True
u31,HomeMobility,2013-03-30 02:38:07,True
u31,HomeMobility,2013-03-30 02:57:15,True
u31,HomeMobility,2013-03-30 03:18:07,True
u31,HomeMobility,2013-03-30 03:38:07,True
u31,HomeMobility,2013-03-30 03:58:13,True
u31,HomeMobility,2013-03-30 04:18:13,True
u31,HomeMobility,2013-03-30 04:37:26,True
u31,HomeMobility,2013-03-30 04:58:07,True
u31,HomeMobility,2013-03-30 05:18:07,True
u31,HomeMobility,2013-03-30 05:38:07,True
u31,HomeMobility,2013-03-30 05:58:07,True
u31,HomeMobility,2013-03-30 06:18:07,True
u31,HomeMobility,2013-03-30 06:38:07,True
u31,HomeMobility,2013-03-30 06:58:07,True
u31,HomeMobility,2013-03-30 07:18:07,True
u31,HomeMobility,2013-03-30 07:38:07,True
u31,HomeMobility,2013-03-30 07:58:07,True
u31,HomeMobility,2013-03-30 08:18:07,True
u31,HomeMobility,2013-03-30 08:38:07,True
u31,HomeMobility,2013-03-30 08:56:32,True
u31,HomeMobility,2013-03-30 09:18:07,True
u31,HomeMobility,2013-03-30 09:38:07,True
u31,HomeMobility,2013-03-30 09:56:41,True
u31,HomeMobility,2013-03-30 10:18:07,True
u31,HomeMobility,2013-03-30 10:38:11,True
u31,HomeMobility,2013-03-30 10:56:24,True
