uid,typeEvent,inference,startDate,endDate,duration
u08,Physical activity,3,2013-03-27 18:17:54,2013-03-27 18:17:54,0
u08,Physical activity,0,2013-03-27 18:17:57,2013-03-27 18:18:20,23
u08,Physical activity,3,2013-03-27 18:18:22,2013-03-27 18:18:30,8
u08,Physical activity,0,2013-03-27 18:18:33,2013-03-27 18:21:49,196
u08,Physical activity,3,2013-03-27 18:21:51,2013-03-27 18:22:01,10
u08,Physical activity,1,2013-03-27 18:22:04,2013-03-27 18:22:14,10
u08,Physical activity,3,2013-03-27 18:22:17,2013-03-27 18:22:17,0
u08,Physical activity,1,2013-03-27 18:22:19,2013-03-27 18:22:19,0
u08,Physical activity,3,2013-03-27 18:22:22,2013-03-27 18:26:04,222
u08,Physical activity,0,2013-03-27 18:26:06,2013-03-27 18:37:42,696
u08,Physical activity,1,2013-03-27 18:37:45,2013-03-27 18:38:05,20
u08,Physical activity,0,2013-03-27 18:38:08,2013-03-27 18:38:08,0
u08,Physical activity,3,2013-03-27 18:38:10,2013-03-27 18:38:10,0
u08,Physical activity,0,2013-03-27 18:38:13,2013-03-27 18:38:18,5
u08,Physical activity,3,2013-03-27 18:38:23,2013-03-27 18:38:23,0
u08,Physical activity,0,2013-03-27 18:38:26,2013-03-27 18:38:26,0
u08,Physical activity,3,2013-03-27 18:38:28,2013-03-27 18:38:39,11
u08,Physical activity,0,2013-03-27 18:41:49,2013-03-27 18:42:20,31
u08,Physical activity,1,2013-03-27 18:42:23,2013-03-27 18:42:25,2
u08,Physical activity,0,2013-03-27 18:42:28,2013-03-27 18:45:45,197
u08,Physical activity,1,2013-03-27 18:45:48,2013-03-27 18:53:44,476
u08,Physical activity,0,2013-03-27 18:53:46,2013-03-27 19:01:51,485
u08,Physical activity,1,2013-03-27 19:01:53,2013-03-27 19:01:58,5
u08,Physical activity,0,2013-03-27 19:02:01,2013-03-27 19:02:14,13
u08,Physical activity,1,2013-03-27 19:02:16,2013-03-27 19:02:19,3
u08,Physical activity,0,2013-03-27 19:02:22,2013-03-27 20:34:42,5540
u08,Physical activity,1,2013-03-27 20:37:48,2013-03-27 20:41:47,239
u08,Physical activity,2,2013-03-27 20:41:49,2013-03-27 20:41:49,0
u08,Physical activity,0,2013-03-27 20:41:57,2013-03-27 20:42:18,21
u08,Physical activity,1,2013-03-27 20:42:20,2013-03-27 20:42:43,23
u08,Physical activity,0,2013-03-27 20:45:44,2013-03-27 20:50:02,258
u08,Physical activity,3,2013-03-27 20:50:04,2013-03-27 20:50:07,3
u08,Physical activity,0,2013-03-27 20:50:10,2013-03-27 20:50:10,0
u08,Physical activity,3,2013-03-27 20:50:12,2013-03-27 20:50:38,26
u08,Physical activity,0,2013-03-27 20:50:41,2013-03-27 20:50:41,0
u08,Physical activity,3,2013-03-27 20:50:43,2013-03-27 20:53:46,183
u08,Physical activity,0,2013-03-27 20:53:48,2013-03-27 21:06:34,766
u08,Physical activity,1,2013-03-27 21:06:36,2013-03-27 21:13:49,433
